material_type;reinforcement_type;sigma_C_B;E;E_c;tau__M;tau__12M;G__12;eps;mu;h__p;V;T__gdry;climate_conditions;climate_conditions_time_spent;s__max;sigma__B_min;sigma__B_max;sigma__B_mean;N_current
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;58
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;59
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;60
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;61
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;62
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;63
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;64
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;65
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;66
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;67
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;68
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;69
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;70
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;71
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;72
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;73
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;74
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;75
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;76
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;77
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;78
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;79
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;80
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;81
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;82
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;83
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;84
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;85
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;86
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;87
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;88
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;89
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;90
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;91
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;92
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;93
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;94
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;95
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;96
wisp;quasi;670;36;20.1;100;93;4.8;2.3;0.15;0.215;38;185;base;0;580;787;905;854;97
